                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.4823,                 3.4134,                 4.2006,                0.00534,                 0.7197,                0.01198,                0.00426,                 2.8054,                 3.9342,                 4.1493,                0.00044,                0.00044,                0.00044
                      1,                 3.3736,                 3.0343,                  3.973,                0.02097,                0.43939,                0.04255,                0.01285,                 2.8183,                 67.668,                 4.5889,             0.00089109,             0.00089109,             0.00089109
                      2,                 3.2046,                 2.9536,                 3.6945,                0.03014,                0.39394,                0.03364,                0.00997,                 2.8486,                  37.06,                 4.4383,              0.0013331,              0.0013331,              0.0013331
                      3,                 3.0464,                 2.9455,                  3.524,                0.12583,                0.14394,                0.04886,                0.01229,                 3.3393,                 56.602,                 5.5961,              0.0017659,              0.0017659,              0.0017659
                      4,                  2.996,                 2.8853,                 3.3706,                0.03366,                0.33333,                0.02307,                0.00711,                 2.7423,                 17.685,                 3.8044,              0.0019208,              0.0019208,              0.0019208
                      5,                 2.8665,                 2.8388,                 3.2914,                0.00959,                0.06818,                 0.0038,                0.00109,                 2.8808,                 91.902,                  4.198,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.8153,                 2.8009,                 3.1755,                0.06209,                0.15152,                0.02762,                0.00746,                 2.9711,                 15.217,                 3.3746,               0.001901,               0.001901,               0.001901
                      7,                 2.7505,                 2.7544,                  3.125,                0.14029,                0.15909,                0.06433,                0.01754,                 2.1935,                 5.7273,                   3.48,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.6184,                 2.7044,                 3.0437,                0.08465,                0.24242,                  0.073,                0.02269,                 2.4323,                 5.7655,                 3.3791,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.6789,                 2.7375,                 3.0936,                0.04086,                0.39394,                0.03296,                0.00978,                 2.2058,                  8.988,                 3.0623,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.5614,                 2.6963,                 3.0127,                0.15236,                0.19473,                0.08818,                0.02877,                 2.8254,                 3.5891,                 3.2264,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.5197,                 2.6496,                 2.9313,                0.03709,                0.61364,                0.03398,                 0.0109,                 2.6002,                 5.2008,                 3.3639,               0.001802,               0.001802,               0.001802
                     12,                  2.493,                 2.6668,                 2.8994,                0.19022,                 0.3239,                0.13033,                0.03132,                 2.5488,                 3.1284,                 3.2828,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.4417,                 2.5671,                 2.8155,                0.18062,                0.38636,                0.17439,                0.05034,                 2.4643,                 3.3048,                 3.0678,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.4086,                 2.5207,                  2.793,                0.17171,                0.31818,                0.11431,                0.03127,                 2.7216,                 3.0273,                 3.2012,              0.0017426,              0.0017426,              0.0017426
                     15,                 2.3946,                 2.4793,                 2.7556,                 0.0222,                0.03788,                0.01251,                0.00462,                 2.5427,                 4.2087,                 4.2656,              0.0017228,              0.0017228,              0.0017228
                     16,                 2.3143,                 2.4409,                 2.7062,                0.07535,                0.02273,                0.01489,                0.00413,                 3.2394,                 3.9749,                 4.0477,               0.001703,               0.001703,               0.001703
                     17,                 2.3664,                 2.4185,                 2.7176,                0.24167,                0.40152,                0.20121,                0.06363,                 2.9726,                 3.0252,                  3.274,              0.0016832,              0.0016832,              0.0016832
                     18,                 2.2591,                 2.3284,                 2.6089,                0.33719,                0.06559,                0.06494,                0.02738,                 3.0769,                 3.9019,                 4.1163,              0.0016634,              0.0016634,              0.0016634
                     19,                 2.2281,                 2.3781,                 2.6256,                0.14698,                0.03788,                0.03334,                0.01204,                 2.8011,                 4.1546,                 4.2487,              0.0016436,              0.0016436,              0.0016436
                     20,                 2.2161,                 2.3156,                 2.5682,                 0.2861,                0.40152,                0.25238,                0.07922,                 2.0868,                 2.3106,                 2.5643,              0.0016238,              0.0016238,              0.0016238
                     21,                 2.1545,                 2.3071,                 2.5413,                0.35361,                0.42424,                0.29377,                0.08892,                 2.2159,                 2.4272,                 2.7052,               0.001604,               0.001604,               0.001604
                     22,                 2.1906,                 2.2753,                 2.5189,                 0.3367,                0.46212,                0.28312,                0.08775,                 1.9934,                 2.4385,                 2.5667,              0.0015842,              0.0015842,              0.0015842
                     23,                 2.1178,                 2.2513,                  2.471,                0.43899,                0.37121,                 0.3588,                0.12394,                  1.827,                 2.0978,                 2.3846,              0.0015644,              0.0015644,              0.0015644
                     24,                 2.0576,                  2.168,                  2.406,                0.42143,                0.43939,                0.38982,                0.11836,                  2.252,                 2.3097,                 2.6201,              0.0015446,              0.0015446,              0.0015446
                     25,                 2.1434,                 2.1874,                 2.4605,                0.31426,                0.30303,                0.23139,                0.08031,                 2.4778,                 3.3159,                 3.2462,              0.0015248,              0.0015248,              0.0015248
                     26,                 2.0358,                 2.1311,                 2.3825,                0.37757,                0.40152,                0.31222,                0.10354,                 2.3043,                 2.4424,                 2.6291,               0.001505,               0.001505,               0.001505
                     27,                  1.968,                 2.0592,                 2.3456,                0.48534,                0.45455,                0.40536,                0.16569,                 1.9848,                 2.3245,                 2.4709,              0.0014852,              0.0014852,              0.0014852
                     28,                 2.0012,                 2.1492,                 2.3782,                0.26662,                0.32576,                0.25064,                0.06903,                 2.1223,                 2.9896,                 2.7081,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.9445,                 2.0629,                 2.3289,                0.42657,                0.50758,                0.40562,                0.14614,                 1.6612,                  1.866,                 2.2166,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.9581,                 2.0426,                 2.3158,                0.49954,                0.43103,                0.37322,                0.14928,                 2.0145,                 3.0318,                 2.5209,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.9989,                  2.051,                 2.3133,                0.47426,                0.43939,                 0.4066,                0.14662,                 2.0252,                 2.1897,                 2.3859,               0.001406,               0.001406,               0.001406
                     32,                   1.95,                 2.0255,                 2.2865,                0.50499,                0.47727,                0.45393,                0.16705,                 1.6722,                 1.8026,                 2.2284,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.9181,                  2.026,                 2.2754,                0.51612,                0.46212,                0.43663,                0.15878,                 1.7076,                 1.8571,                 2.2731,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.8714,                 1.9301,                 2.2155,                0.45294,                0.51515,                0.43204,                0.17589,                 1.8485,                 2.1029,                 2.3588,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.8778,                 1.9421,                 2.2255,                0.44216,                0.55303,                0.49118,                0.20973,                  1.668,                  1.912,                  2.222,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.8533,                 1.8585,                 2.1971,                0.53621,                0.45455,                0.51009,                0.20137,                 1.5523,                  1.799,                 2.1762,               0.001307,               0.001307,               0.001307
                     37,                 1.8479,                 1.9511,                 2.2338,                0.52238,                0.50545,                0.52624,                  0.208,                 1.7009,                 1.7953,                 2.2159,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.8694,                 1.9282,                  2.189,                0.62544,                0.46807,                0.51904,                 0.2155,                 1.6483,                  1.768,                 2.1566,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.8396,                 1.9305,                 2.2055,                0.56438,                 0.5202,                0.53878,                0.21053,                 1.7565,                 1.9362,                 2.2938,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.8824,                 1.9234,                 2.2138,                0.71161,                0.43182,                0.50707,                0.20014,                 1.7071,                  1.875,                 2.2463,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.8334,                 1.9126,                 2.1638,                0.62751,                0.44668,                0.50905,                0.20358,                 1.7266,                 1.7811,                 2.2499,               0.001208,               0.001208,               0.001208
